This file was created by CMPT_ME_BEME_RETS_DAILY using the 201911 CRSP database.,,,,,,,,,,,,,,,,,,,,,,,
The Tbill return is the simple daily rate that, over the number of trading days,,,,,,,,,,,,,,,,,,,,,,
in the month, compounds to 1-month TBill rate from Ibbotson and Associates Inc.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Mkt-RF,SMB,HML,RF,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
19760415,0.33,-0.24,0.29,0.02,0.26,0.29,0.47,0.62,0.31,0.41,0.37,0.38,0.67,0.31,0.32,0.23,0.72,0.38,0.34,0.28,0.56,0.55,0.83
19760419,0.67,-0.02,0.31,0.02,0.08,0.77,0.44,1.05,0.76,0.62,0.58,0.56,1.09,0.8,0.66,0.8,0.32,0.82,0.04,0.31,1.01,1.12,1.05
19760420,1.46,-0.02,0.36,0.02,2.3,1.48,1.47,1.71,1.52,1.34,1.6,1.56,1.76,1.41,1.74,1.38,1.26,1.74,1.28,1.51,1.65,1.77,1.76
19760421,0.36,0.08,0.2,0.02,0.3,0.37,0.37,0.49,0.27,0.44,0.53,0.56,0.45,0.34,0.12,0.69,0.03,0.37,0.9,0.56,0.54,0.59,0.26
19760422,-0.2,0.22,0.17,0.02,1.58,-0.31,0.05,0.1,-0.3,-0.16,0.02,0.09,-0.03,-0.34,-0.23,-0.34,0.14,0.15,-0.29,-0.02,0.27,0.04,-0.12
19760423,-0.66,0.27,-0.16,0.02,-0.64,-0.72,-0.55,-0.63,-0.79,-0.58,-0.25,-0.83,-0.65,-0.88,-0.59,-0.48,-0.74,-0.24,-0.28,-0.94,-0.62,-0.77,-0.49
19760426,0.07,-0.08,0.06,0.02,-0.52,0.1,0.12,0.09,0.09,0.1,0.11,0.18,0.15,0.02,0.22,0.13,0.05,0.17,-0.05,0.27,0.02,-0.3,0.74
19760427,-0.52,0.04,-0.27,0.02,-0.01,-0.58,-0.23,-0.92,-0.73,-0.23,0.03,-0.65,-0.92,-0.81,-0.58,-0.11,-0.44,0.21,-0.36,-0.5,-0.91,-0.58,-1.38
19760428,0.17,-0.26,-0.17,0.02,1.98,0.21,0.22,0.07,0.07,0.55,0.13,0.1,0.08,0.13,-0.03,0.63,0.41,0.19,-0.02,0.12,0.06,0.06,0.12
19760429,-0.03,0.09,0.25,0.02,0.61,-0.19,0.34,0.17,-0.29,0.16,0.27,0.59,-0.02,-0.42,-0.01,0.12,0.24,0.24,0.33,0.69,0.4,0.04,-0.09
19760430,-0.4,0.2,0.18,0.02,-0.78,-0.5,-0.2,-0.11,-0.59,-0.21,-0.15,-0.31,-0.03,-0.64,-0.48,-0.23,-0.17,-0.01,-0.48,-0.37,-0.21,-0.07,0.03
19760503,-0.83,-0.05,-0.36,0.019,-1.61,-0.79,-0.83,-1.13,-0.84,-0.69,-0.77,-1.02,-1.28,-0.87,-0.78,-0.64,-0.78,-0.64,-1.07,-1.07,-0.93,-1.42,-1.1
19760504,0.56,-0.37,0.08,0.019,1.12,0.66,0.44,0.57,0.67,0.57,0.43,0.36,0.81,0.75,0.49,0.63,0.47,0.49,0.28,0.42,0.25,0.68,0.98
19760505,-0.45,0.32,-0.21,0.019,-1.23,-0.5,-0.34,-0.56,-0.7,-0.01,-0.33,-0.51,-0.67,-0.88,-0.32,0.12,-0.23,-0.38,-0.22,-0.56,-0.42,-0.66,-0.68
19760506,0.29,-0.17,-0.25,0.019,0.48,0.42,0.1,0.21,0.42,0.32,-0.01,0.26,0.27,0.45,0.36,0.43,0.13,-0.03,0.01,0.33,0.13,0.02,0.59
19760507,0.76,-0.09,-0.03,0.019,1.64,0.87,0.6,0.81,0.82,0.9,0.47,0.77,0.8,0.8,0.87,1,0.71,0.43,0.56,0.75,0.81,1.07,0.45
19760510,1.22,-0.53,0.51,0.019,1.37,1.27,1.17,1.59,1.41,0.85,1.27,1.48,1.67,1.52,1.19,0.84,0.87,1.23,1.35,1.47,1.49,1.69,1.65
19760511,-0.1,0.21,0.3,0.019,2.66,-0.18,0.04,0.25,-0.22,-0.22,0.34,0.25,0.17,-0.32,-0.02,-0.07,-0.49,0.26,0.51,0.19,0.36,0.4,-0.12
19760512,-0.17,0.15,-0.08,0.019,-1.19,-0.17,-0.1,-0.16,-0.3,0.19,-0.2,-0.17,-0.18,-0.38,-0.15,0.24,0.1,-0.15,-0.29,-0.19,-0.13,-0.28,-0.06
19760513,-0.56,0.21,0.18,0.019,0.3,-0.63,-0.46,-0.33,-0.66,-0.47,-0.48,-0.51,-0.17,-0.73,-0.53,-0.51,-0.41,-0.52,-0.39,-0.51,-0.52,-0.37,0.09
19760514,-0.75,0.09,0.15,0.019,-1.8,-0.85,-0.55,-0.47,-0.87,-0.73,-0.45,-0.63,-0.48,-1,-0.6,-0.8,-0.6,-0.43,-0.49,-0.73,-0.46,-0.49,-0.47
19760517,-0.28,-0.08,-0.19,0.019,-0.29,-0.25,-0.25,-0.5,-0.35,-0.03,-0.14,-0.56,-0.42,-0.28,-0.5,0.09,-0.25,-0.05,-0.33,-0.53,-0.61,-0.23,-0.66
19760518,0.11,-0.2,0.08,0.019,0.3,0.17,0.09,0.15,0.11,0.31,0.02,0.07,0.11,0.1,0.13,0.35,0.24,0.03,-0.01,-0.01,0.2,0.11,0.12
19760519,-0.05,-0.13,0.21,0.019,-0.34,-0.04,-0.07,0.15,-0.01,-0.12,-0.02,-0.03,0.02,-0.04,0.06,-0.15,-0.06,0.06,-0.2,-0.22,0.31,0.08,-0.05
19760520,0.63,-0.18,-0.27,0.019,0.45,0.77,0.49,0.51,0.93,0.33,0.54,0.42,0.6,0.95,0.89,0.27,0.45,0.57,0.49,0.42,0.4,0.71,0.45
19760521,-0.54,0.19,0.11,0.019,-0.28,-0.58,-0.51,-0.32,-0.69,-0.42,-0.43,-0.45,-0.12,-0.75,-0.55,-0.26,-0.69,-0.54,-0.17,-0.38,-0.58,-0.15,-0.08
19760524,-1.66,0.15,-0.36,0.019,-2.06,-1.62,-1.65,-2.06,-1.6,-1.63,-1.69,-1.82,-2.27,-1.57,-1.65,-1.71,-1.5,-1.7,-1.66,-1.83,-1.79,-2.14,-2.45
19760525,-0.09,-0.32,-0.73,0.019,0.05,0.19,-0.43,-0.84,0.21,-0.05,-0.39,-0.67,-0.84,0.25,0.13,0.14,-0.39,-0.33,-0.53,-0.57,-0.84,-0.92,-0.73
19760526,-0.06,0.12,-0.21,0.019,-0.34,-0.04,0,-0.1,-0.15,0.25,0.05,-0.32,-0.18,-0.32,0.21,0.27,0.21,0.03,0.08,-0.5,0,0.01,-0.43
19760527,-0.11,-0.41,-0.42,0.019,-0.73,-0.07,0.01,-0.55,-0.12,-0.01,0.19,-0.24,-0.67,0.03,-0.42,0.08,-0.16,0.27,0.02,-0.16,-0.39,-0.88,-0.4
19760528,0.73,-0.18,0.2,0.019,1.45,0.81,0.61,1.02,0.8,0.71,0.62,0.84,1.22,0.79,0.81,0.86,0.44,0.59,0.68,0.89,0.76,1.35,1.05
19760601,-0.28,-0.07,0.17,0.02,-0.35,-0.29,-0.2,-0.17,-0.4,-0.1,-0.2,-0.03,-0.16,-0.54,-0.11,0.04,-0.34,-0.18,-0.23,0.05,-0.17,-0.15,-0.18
19760602,0.29,-0.19,-0.06,0.02,-0.18,0.35,0.3,0.18,0.37,0.33,0.32,0.12,0.3,0.42,0.25,0.31,0.35,0.34,0.28,0.17,0.03,0.17,0.48
19760603,-0.05,-0.1,0.09,0.02,0.51,-0.12,0.14,-0.01,-0.19,0.04,0.26,0.11,0.03,-0.22,-0.14,0.1,-0.07,0.37,0.01,0.21,-0.07,-0.02,0.1
19760604,-0.88,0.13,-0.21,0.02,-1.49,-0.95,-0.66,-1.07,-1.09,-0.61,-0.51,-0.9,-1.12,-1.18,-0.9,-0.52,-0.78,-0.47,-0.6,-0.85,-1,-1,-1.28
19760607,-0.52,-0.44,-0.23,0.02,-1.05,-0.38,-0.66,-0.75,-0.29,-0.74,-0.52,-0.57,-0.95,-0.21,-0.46,-0.64,-0.9,-0.52,-0.5,-0.61,-0.5,-1.1,-0.76
19760608,0.14,-0.2,-0.32,0.02,-0.72,0.15,0.26,-0.19,0.2,0.03,0.29,0.29,-0.21,0.05,0.48,0.01,0.07,0.4,0.04,0.54,-0.16,-0.09,-0.37
19760609,-0.06,0.07,-0.06,0.02,-0.15,-0.09,0.11,-0.07,-0.03,-0.18,0.27,-0.06,-0.13,0.03,-0.16,-0.27,-0.02,0.29,0.23,-0.1,0,-0.06,-0.22
19760610,0.77,-0.2,-0.05,0.02,0.88,0.9,0.63,0.82,0.92,0.7,0.69,0.81,0.78,1.05,0.66,0.84,0.45,0.67,0.73,0.78,0.86,0.8,0.76
19760611,1.17,-0.31,0.13,0.02,2.15,1.29,0.98,1.26,1.36,1.08,0.88,1.07,1.36,1.45,1.2,1.07,1.09,0.8,1.08,1.03,1.13,1.03,1.8
19760614,0.99,-0.16,0.25,0.02,0.53,0.99,1.02,1.15,1.07,0.86,0.98,1.19,1.05,1.14,0.93,0.77,1.02,1.03,0.89,1.14,1.28,1.26,0.79
19760615,-0.42,0.34,0.1,0.02,-0.97,-0.46,-0.34,-0.26,-0.43,-0.51,-0.3,-0.24,-0.29,-0.43,-0.42,-0.54,-0.45,-0.33,-0.23,-0.25,-0.23,0.02,-0.7
19760616,0.55,-0.13,0.12,0.02,-0.19,0.6,0.54,0.71,0.69,0.38,0.5,0.66,0.88,0.8,0.48,0.32,0.47,0.44,0.64,0.76,0.49,0.94,0.81
19760617,1.43,-0.42,0.13,0.02,1.43,1.53,1.42,1.41,1.49,1.76,1.01,1.47,1.42,1.55,1.36,1.64,1.98,0.94,1.17,1.51,1.4,1.43,1.41
19760618,0.19,0.12,0.05,0.02,-0.02,0.13,0.26,0.29,0.05,0.29,0.37,0.39,0.03,0.06,0.04,0.4,0.1,0.24,0.68,0.27,0.62,0.16,-0.15
19760621,0.39,-0.06,-0.14,0.02,0.97,0.55,0.14,0.35,0.61,0.2,0.34,0.2,0.26,0.76,0.31,0.36,-0.09,0.34,0.33,0.06,0.47,0.32,0.17
19760622,-0.7,0.21,-0.07,0.02,-0.78,-0.75,-0.54,-0.65,-0.84,-0.5,-0.41,-0.68,-0.79,-0.92,-0.69,-0.46,-0.56,-0.48,-0.27,-0.8,-0.48,-0.56,-1.1
19760623,-0.22,-0.05,0.02,0.02,0.92,-0.16,-0.21,-0.22,-0.13,-0.26,-0.22,-0.2,-0.14,0.07,-0.52,-0.26,-0.24,-0.28,-0.09,-0.13,-0.33,-0.21,-0.06
19760624,0.59,-0.07,0.23,0.02,0.92,0.52,0.76,0.85,0.46,0.77,0.68,0.81,0.8,0.44,0.51,0.7,0.9,0.64,0.76,0.75,0.91,0.69,0.94
19760625,0.01,0.29,0.11,0.02,0.66,-0.05,0.15,0.27,-0.11,0.04,0.38,0.21,0.05,-0.07,-0.19,0.12,-0.11,0.32,0.52,0.02,0.54,-0.08,0.22
19760628,-0.23,0.15,0.02,0.02,-0.12,-0.35,0.06,-0.17,-0.34,-0.25,0.17,-0.13,-0.12,-0.27,-0.48,-0.38,-0.01,0.18,0.12,-0.07,-0.23,-0.17,-0.06
19760629,0.38,-0.19,0.14,0.02,1.48,0.5,0.17,0.55,0.55,0.22,0.25,0.36,0.58,0.62,0.39,0.34,0,0.19,0.38,0.26,0.52,0.36,0.86
19760630,0.46,-0.04,0.26,0.02,1.99,0.45,0.53,0.71,0.45,0.54,0.42,0.63,0.59,0.54,0.27,0.45,0.7,0.33,0.62,0.5,0.85,0.53,0.67
19760701,-0.67,0.33,0.1,0.022,0.78,-0.8,-0.37,-0.46,-0.86,-0.58,-0.23,-0.65,-0.23,-0.82,-0.95,-0.57,-0.6,0.04,-0.68,-0.6,-0.69,-0.01,-0.52
19760702,0.47,0.02,-0.06,0.022,0.26,0.55,0.39,0.57,0.62,0.34,0.41,0.23,0.86,0.59,0.7,0.27,0.46,0.37,0.48,0.19,0.28,0.61,1.19
19760706,-0.46,0.45,-0.05,0.022,-0.16,-0.51,-0.25,-0.47,-0.48,-0.44,-0.32,-0.44,-0.2,-0.5,-0.44,-0.63,-0.12,-0.38,-0.21,-0.18,-0.74,-0.07,-0.37
19760707,0.25,-0.09,0.29,0.022,0.37,0.25,0.23,0.48,0.31,0.18,0.17,0.38,0.5,0.45,-0.04,0.07,0.37,0.13,0.23,0.3,0.47,0.45,0.56
19760708,0.15,0.13,0.19,0.022,1,0.1,0.23,0.39,0.01,0.31,0.31,0.23,0.36,0.06,-0.1,0.43,0.1,0.36,0.24,0.07,0.42,0.58,0.08
19760709,0.87,-0.05,0,0.022,1.92,1.04,0.61,0.91,1.03,1.04,0.44,0.84,1.01,1.15,0.73,1.1,0.93,0.43,0.44,0.87,0.81,0.95,1.09
19760712,0.76,-0.18,0.09,0.022,1.16,0.88,0.59,0.85,0.88,0.78,0.54,0.78,0.97,0.93,0.76,0.89,0.58,0.54,0.53,0.84,0.72,0.83,1.15
19760713,-0.21,0.06,0.21,0.022,0.6,-0.31,-0.04,0,-0.44,0.06,0.06,-0.2,-0.03,-0.51,-0.26,0.14,-0.07,0.13,-0.05,-0.4,0.03,0.01,-0.08
19760714,0.25,0.18,-0.06,0.022,1.05,0.3,0.21,0.43,0.41,-0.04,0.2,0.3,0.67,0.58,0.01,-0.12,0.11,0.2,0.19,0.39,0.18,0.54,0.85
19760715,-0.6,0.48,-0.04,0.022,0.34,-0.67,-0.49,-0.5,-0.76,-0.35,-0.53,-0.61,-0.36,-0.71,-0.88,-0.35,-0.35,-0.64,-0.33,-0.58,-0.65,-0.45,-0.24
19760716,-0.48,0.27,-0.18,0.022,0.3,-0.52,-0.28,-0.73,-0.56,-0.31,-0.33,-0.45,-0.69,-0.55,-0.57,-0.37,-0.22,-0.43,-0.17,-0.18,-0.77,-0.61,-0.79
19760719,-0.32,-0.11,0.36,0.022,-2.5,-0.4,-0.11,-0.25,-0.43,-0.28,-0.04,-0.13,-0.37,-0.58,-0.06,-0.28,-0.27,0.07,-0.23,-0.12,-0.14,0,-0.84
19760720,-0.63,-0.13,-0.12,0.022,-0.32,-0.65,-0.52,-0.79,-0.71,-0.47,-0.51,-0.63,-0.83,-0.76,-0.58,-0.43,-0.55,-0.48,-0.56,-0.52,-0.75,-0.87,-0.79
19760721,0.06,-0.07,0.17,0.022,0.44,0.05,0.12,0.27,0.08,0.05,0.03,0.29,0.24,0.04,0.17,-0.08,0.27,0.12,-0.13,0.3,0.29,-0.06,0.63
19760722,0.12,0.12,-0.35,0.022,-0.96,0.25,0.03,-0.06,0.17,0.31,0.02,0.05,-0.01,0.12,0.29,0.51,-0.04,0.1,-0.12,0.19,-0.11,0.17,-0.24
19760723,0.12,-0.1,0.17,0.022,0.34,0.05,0.31,0.28,0.01,0.16,0.4,0.3,0.22,-0.06,0.19,0.2,0.07,0.46,0.3,0.27,0.34,0.15,0.3
19760726,-0.08,-0.21,0.13,0.022,0.23,-0.05,-0.08,-0.03,-0.04,-0.13,-0.1,0.2,-0.16,0.04,-0.23,-0.06,-0.26,-0.14,-0.03,0.28,0.1,-0.31,0.05
19760727,-0.5,-0.05,0.05,0.022,-0.62,-0.6,-0.24,-0.6,-0.61,-0.42,-0.18,-0.44,-0.95,-0.6,-0.63,-0.57,-0.16,-0.05,-0.39,-0.59,-0.26,-0.79,-1.15
19760728,-0.4,-0.22,0.21,0.022,-0.37,-0.32,-0.45,-0.35,-0.35,-0.31,-0.48,-0.37,-0.25,-0.34,-0.37,-0.22,-0.47,-0.5,-0.45,-0.29,-0.46,-0.06,-0.48
19760729,-0.16,-0.15,0.38,0.022,0.44,-0.23,-0.05,0.1,-0.19,-0.25,-0.05,0.08,-0.01,-0.25,-0.05,-0.36,-0.05,-0.09,0.01,-0.03,0.21,-0.19,0.22
19760730,0.4,-0.39,0.19,0.022,0.47,0.4,0.45,0.53,0.31,0.54,0.54,0.4,0.72,0.28,0.39,0.73,0.22,0.6,0.43,0.45,0.34,0.43,1.1
19760802,-0.15,-0.08,0.24,0.019,-0.38,-0.24,0.09,-0.13,-0.27,-0.12,0.23,-0.21,-0.07,-0.27,-0.29,-0.13,-0.08,0.33,0.06,-0.23,-0.18,-0.05,-0.1
19760803,0.89,-0.57,0.15,0.019,1.25,0.95,0.92,0.99,0.94,0.83,1.07,0.91,0.99,1.02,0.76,0.97,0.56,1.11,1,0.83,0.99,0.94,1.05
19760804,0.22,-0.05,0.14,0.019,0.17,0.17,0.33,0.34,0.12,0.35,0.29,0.42,0.32,0.13,0.1,0.35,0.34,0.22,0.43,0.47,0.37,0.39,0.23
19760805,-0.43,0.19,0.05,0.019,-0.54,-0.52,-0.21,-0.48,-0.54,-0.21,-0.27,-0.52,-0.5,-0.6,-0.41,-0.43,0.18,-0.36,-0.13,-0.58,-0.45,-0.3,-0.77
19760806,-0.03,-0.02,0.08,0.019,-0.15,-0.08,0.14,0.01,-0.11,0.04,0.24,-0.16,0.25,-0.02,-0.34,0.04,0.03,0.52,-0.24,-0.1,-0.24,0.41,0.04
19760809,-0.23,-0.08,0.01,0.019,0.1,-0.22,-0.18,-0.32,-0.23,-0.23,-0.2,-0.08,-0.39,-0.21,-0.28,-0.19,-0.29,-0.13,-0.33,0.07,-0.24,-0.38,-0.4
19760810,0.77,-0.4,0.01,0.019,0.64,0.97,0.49,0.74,1.13,0.35,0.58,0.58,0.81,1.22,0.9,0.41,0.26,0.61,0.53,0.5,0.67,0.77,0.86
19760811,-0.25,0.05,0.09,0.019,-0.36,-0.39,0.1,-0.38,-0.32,-0.37,0.17,-0.3,-0.3,-0.36,-0.22,-0.63,0.09,0.15,0.19,-0.16,-0.46,-0.11,-0.53
19760812,0.07,-0.15,-0.21,0.019,-0.06,0.15,0.07,-0.16,0.17,0.09,0.06,-0.04,-0.12,0.24,0,0.09,0.08,0.28,-0.33,0.08,-0.19,-0.04,-0.23
19760813,0.05,0,0.09,0.019,-0.14,0.06,0.09,0.15,0.03,0.21,0.04,0.18,0.05,0.02,0.05,0.2,0.23,0.02,0.07,0.12,0.25,0.07,0.03
19760816,0.16,-0.14,0.13,0.019,0.06,0.14,0.27,0.19,0.15,0.09,0.35,0.19,0.2,0.16,0.13,0.09,0.09,0.51,0.09,0.19,0.18,0.08,0.35
19760817,0.3,-0.16,-0.14,0.019,0.43,0.46,0.14,0.12,0.56,0.11,0.16,0.16,0.07,0.58,0.52,0.11,0.1,0.15,0.19,0.14,0.18,-0.13,0.32
19760818,-0.2,-0.09,0.07,0.019,-0.29,-0.28,-0.03,-0.16,-0.35,-0.07,0.06,-0.23,-0.17,-0.34,-0.37,-0.04,-0.12,0.15,-0.09,-0.3,-0.15,-0.07,-0.3
19760819,-1.17,-0.05,0.1,0.019,-1.53,-1.19,-1.03,-1.38,-1.23,-1.02,-0.95,-1.4,-1.38,-1.32,-1.02,-1.03,-1,-0.74,-1.32,-1.42,-1.37,-1.1,-1.75
19760820,-0.9,0.26,-0.01,0.019,-0.7,-0.93,-0.85,-0.95,-0.91,-0.9,-0.91,-0.81,-1.11,-0.99,-0.7,-1.02,-0.69,-0.83,-1.06,-0.82,-0.79,-1.2,-1
19760823,-0.43,-0.25,-0.15,0.019,-0.99,-0.32,-0.52,-0.67,-0.2,-0.74,-0.41,-0.68,-0.59,-0.14,-0.35,-0.74,-0.74,-0.46,-0.33,-0.63,-0.74,-0.56,-0.64
19760824,-0.62,0.25,-0.02,0.019,-1.01,-0.77,-0.26,-0.7,-0.74,-0.66,-0.25,-0.51,-0.64,-0.75,-0.7,-0.9,-0.26,-0.25,-0.25,-0.29,-0.76,-0.36,-1
19760825,0.75,-0.6,0.02,0.019,0.01,0.87,0.59,0.75,0.77,0.99,0.66,0.6,0.55,0.94,0.37,1.23,0.57,0.87,0.28,0.31,0.95,0.46,0.67
19760826,-0.63,0.37,0.25,0.019,-0.17,-0.72,-0.52,-0.29,-0.82,-0.38,-0.62,-0.34,-0.18,-0.84,-0.78,-0.37,-0.4,-0.8,-0.31,-0.28,-0.4,-0.19,-0.17
19760827,0.09,-0.04,-0.1,0.019,0.13,0.11,0.13,0.07,0.04,0.3,0.11,0.07,0.11,0.12,-0.14,0.35,0.22,-0.02,0.34,0.1,0.03,0.1,0.13
19760830,0.53,-0.33,-0.03,0.019,0.44,0.59,0.5,0.45,0.51,0.82,0.48,0.34,0.55,0.54,0.42,0.9,0.69,0.45,0.53,0.33,0.36,0.54,0.57
19760831,0.69,-0.22,0.04,0.019,-0.04,0.76,0.63,0.75,0.74,0.71,0.6,0.88,0.71,0.74,0.74,0.84,0.48,0.7,0.43,0.97,0.79,0.89,0.47
19760901,1.02,-0.19,-0.35,0.021,2.01,1.19,0.72,0.97,1.33,0.75,0.66,0.87,1.03,1.39,1.2,0.71,0.8,0.6,0.77,0.84,0.9,1.01,1.06
19760902,-0.04,0.18,-0.15,0.021,0.28,-0.09,0.13,-0.12,-0.1,0.01,0.11,0.06,-0.16,-0.05,-0.23,-0.07,0.16,0.06,0.21,0.18,-0.08,0.01,-0.38
19760903,0.37,-0.02,0.03,0.021,-0.17,0.31,0.53,0.51,0.29,0.48,0.48,0.56,0.47,0.27,0.35,0.38,0.64,0.46,0.51,0.56,0.56,0.54,0.38
19760907,0.61,-0.27,0.07,0.021,1.19,0.66,0.61,0.72,0.7,0.55,0.62,0.73,0.53,0.73,0.64,0.53,0.6,0.6,0.65,0.58,0.91,0.49,0.58
19760908,-0.11,0.2,-0.05,0.021,-0.67,-0.18,0.05,-0.04,-0.27,0.15,0.05,-0.05,-0.12,-0.32,-0.15,0.14,0.18,-0.01,0.16,-0.14,0.04,-0.11,-0.14
19760909,-0.44,0.19,0.01,0.021,-1.88,-0.54,-0.21,-0.53,-0.51,-0.49,-0.07,-0.58,-0.65,-0.5,-0.56,-0.62,-0.27,0.1,-0.36,-0.72,-0.41,-0.52,-0.81
19760910,0.24,0.03,-0.17,0.021,0.37,0.24,0.28,0.31,0.19,0.36,0.29,0.28,0.26,0.2,0.16,0.4,0.29,0.28,0.32,0.22,0.35,0.34,0.16
19760913,-0.29,0.1,0.05,0.021,-0.47,-0.35,-0.12,-0.28,-0.42,-0.07,-0.17,-0.23,-0.24,-0.53,-0.15,-0.12,0.03,-0.12,-0.25,-0.16,-0.32,-0.07,-0.47
19760914,-0.3,0.06,-0.08,0.021,-0.32,-0.32,-0.2,-0.32,-0.41,-0.08,-0.18,-0.32,-0.28,-0.47,-0.24,-0.01,-0.19,-0.22,-0.12,-0.27,-0.36,-0.26,-0.31
19760915,0.2,-0.12,-0.21,0.021,-0.33,0.18,0.38,-0.08,0.16,0.24,0.46,0.14,-0.09,0.06,0.39,0.28,0.16,0.64,0.16,0.33,-0.08,-0.14,-0.02
19760916,0.87,-0.34,-0.22,0.021,0.33,1.04,0.75,0.64,1.2,0.58,0.82,0.61,0.55,1.28,1.01,0.5,0.72,0.81,0.83,0.5,0.73,0.45,0.68
19760917,0.87,-0.22,0.18,0.021,1.24,0.9,0.82,0.97,0.75,1.21,0.82,0.97,0.79,0.79,0.67,1.42,0.86,0.79,0.85,0.8,1.15,0.76,0.83
19760920,0.1,-0.07,0.43,0.021,-0.35,0.03,0.27,0.49,0,0.15,0.28,0.53,0.31,0.01,-0.05,0.13,0.17,0.13,0.54,0.41,0.67,-0.05,0.8
19760921,1.23,-0.57,0.29,0.021,0.55,1.46,0.92,1.35,1.36,1.46,0.93,1.26,1.1,1.33,1.43,1.81,0.84,0.83,1.11,0.97,1.6,0.97,1.28
19760922,-0.29,0.46,0.08,0.021,-0.4,-0.4,-0.09,-0.16,-0.32,-0.43,-0.09,-0.24,-0.07,-0.24,-0.52,-0.67,-0.01,-0.06,-0.16,-0.23,-0.25,-0.11,-0.03
19760923,-0.46,0.26,-0.11,0.021,-0.13,-0.55,-0.25,-0.53,-0.58,-0.27,-0.27,-0.44,-0.82,-0.64,-0.44,-0.43,0.03,-0.24,-0.32,-0.6,-0.25,-0.75,-0.9
19760924,-0.1,0.22,-0.03,0.021,-0.6,-0.03,-0.19,0.11,-0.08,-0.03,-0.26,0.27,-0.13,-0.09,-0.03,0.11,-0.28,-0.33,-0.13,0.21,0.34,-0.2,-0.03
19760927,0.36,-0.12,-0.01,0.021,-0.09,0.46,0.23,0.46,0.42,0.49,0.19,0.38,0.41,0.46,0.33,0.6,0.31,0.08,0.39,0.27,0.51,0.48,0.3
19760928,-1.12,0.22,-0.03,0.021,-1.06,-1.16,-0.99,-1.22,-1.19,-1.04,-0.96,-1.08,-1.35,-1.25,-1.04,-1.06,-1,-0.93,-1.03,-1.07,-1.1,-0.98,-1.83
19760929,-0.52,0,0.05,0.021,-0.06,-0.55,-0.41,-0.4,-0.73,-0.17,-0.34,-0.33,-0.62,-0.83,-0.47,0.05,-0.57,-0.28,-0.45,-0.45,-0.2,-0.54,-0.72
19760930,-0.13,0.05,-0.14,0.021,-0.52,-0.03,-0.19,-0.17,-0.01,-0.1,-0.29,-0.07,0.06,0,-0.05,-0.07,-0.16,-0.43,-0.05,0.22,-0.39,0.18,-0.09
19761001,-0.92,0.3,0.18,0.019,-0.62,-1.11,-0.55,-1,-1.14,-0.89,-0.4,-1.1,-0.81,-1.11,-1.19,-1.03,-0.65,-0.23,-0.71,-1.03,-1.17,-0.66,-1.01
19761004,-0.15,-0.01,0.18,0.019,-0.42,-0.27,0.02,0,-0.28,-0.16,0.07,-0.11,0.11,-0.36,-0.09,-0.22,-0.05,-0.04,0.25,-0.11,-0.11,0.05,0.2
19761005,-0.73,-0.06,-0.01,0.019,-0.55,-0.72,-0.66,-0.83,-0.78,-0.63,-0.62,-0.71,-0.81,-0.81,-0.69,-0.54,-0.8,-0.67,-0.55,-0.59,-0.85,-0.59,-1.11
19761006,-0.43,-0.25,-0.1,0.019,-0.05,-0.33,-0.47,-0.67,-0.28,-0.52,-0.44,-0.49,-0.78,-0.2,-0.48,-0.48,-0.58,-0.49,-0.35,-0.42,-0.57,-0.68,-0.91
19761007,0.58,-0.02,-0.31,0.019,0.96,0.76,0.33,0.54,0.77,0.63,0.3,0.44,0.5,0.76,0.77,0.76,0.41,0.48,0,0.34,0.57,0.51,0.49
19761008,-0.84,0.41,0.09,0.019,-0.58,-0.92,-0.69,-0.73,-0.89,-0.89,-0.68,-0.79,-0.77,-0.89,-0.87,-1.05,-0.6,-0.63,-0.77,-0.89,-0.68,-0.69,-0.89
19761011,-0.93,0.04,-0.41,0.019,-1.04,-0.87,-0.89,-1.5,-0.77,-1.17,-0.79,-1.13,-1.75,-0.74,-0.82,-1.22,-1.08,-0.65,-1.02,-1.01,-1.26,-1.52,-2.06
19761012,-0.78,0.06,0.29,0.019,0.04,-0.86,-0.66,-0.63,-0.78,-0.91,-0.67,-0.62,-0.9,-0.9,-0.5,-1.14,-0.5,-0.59,-0.82,-0.84,-0.38,-0.81,-1.02
19761013,1.1,-0.82,0.02,0.019,0.72,1.12,1.22,1,1.03,1.31,1.22,1.08,1.24,0.87,1.41,1.42,1.11,1.32,1.06,1.34,0.77,1.07,1.47
19761014,-1.16,0.67,0.03,0.019,-1.13,-1.35,-0.77,-1.23,-1.52,-0.79,-0.75,-0.93,-1.32,-1.6,-1.33,-0.78,-0.81,-0.77,-0.72,-0.76,-1.14,-0.92,-1.87
19761015,0.1,0.3,-0.03,0.019,0.09,0.09,0.1,0.32,0.17,0,-0.01,0.28,0.3,0.03,0.51,-0.17,0.31,0.03,-0.1,0.23,0.33,0.45,0.09
